Ngày,Tham chiếu,Tổng khối lượng GD,Tổng giá trị GD,Vốn hóa Thị trường,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Thay đổi,% Thay đổi,Khối lượng GD Khớp lệnh,Giá trị GD Khớp lệnh,Khối lượng GD Thỏa thuận,Giá trị GD Thoả thuận
29/04/2021,"2,650","426,400",1077000000.0,50,"2,600","2,500","2,650","2,500",-150.0,-5.66,"426,400",1077000000.0,-,
28/04/2021,"2,480","490,600",1191000000.0,53,"2,350","2,650","2,650","2,310",170.0,6.85,"490,600",1191000000.0,-,
27/04/2021,"2,520","200,300",488000000.0,50,"2,460","2,480","2,520","2,350",-40.0,-1.59,"200,300",488000000.0,-,
26/04/2021,"2,700","834,700",2111000000.0,50,"2,520","2,520","2,690","2,520",-180.0,-6.67,"834,700",2111000000.0,-,
23/04/2021,"2,900","985,800",2662000000.0,54,"2,700","2,700","2,700","2,700",-200.0,-6.9,"985,800",2662000000.0,-,
22/04/2021,"3,110","361,000",1047000000.0,58,"2,900","2,900","2,900","2,900",-210.0,-6.75,"361,000",1047000000.0,-,
20/04/2021,"3,340","208,100",647000000.0,62,"3,110","3,110","3,110","3,110",-230.0,-6.89,"208,100",647000000.0,-,
19/04/2021,"3,590","327,100",1093000000.0,67,"3,340","3,340","3,340","3,340",-250.0,-6.96,"327,100",1093000000.0,-,
16/04/2021,"3,850","1,203,300",4376000000.0,72,"3,600","3,590","3,830","3,590",-260.0,-6.75,"1,203,300",4376000000.0,-,
15/04/2021,"3,600","288,600",1111000000.0,77,"3,850","3,850","3,850","3,850",250.0,6.94,"288,600",1111000000.0,-,
14/04/2021,"3,550","826,800",2877000000.0,72,"3,330","3,600","3,600","3,330",50.0,1.41,"826,800",2877000000.0,-,
13/04/2021,"3,630","1,966,700",7211000000.0,71,"3,880","3,550","3,880","3,380",-80.0,-2.2,"1,966,700",7211000000.0,-,
12/04/2021,"3,400","371,600",1349000000.0,73,"3,630","3,630","3,630","3,630",230.0,6.76,"371,600",1349000000.0,-,
09/04/2021,"3,180","471,300",1602000000.0,68,"3,400","3,400","3,400","3,400",220.0,6.92,"471,300",1602000000.0,-,
08/04/2021,"2,980","618,500",1967000000.0,64,"3,180","3,180","3,180","3,180",200.0,6.71,"618,500",1967000000.0,-,
07/04/2021,"2,790","583,800",1722000000.0,60,"2,800","2,980","2,980","2,800",190.0,6.81,"583,800",1722000000.0,-,
06/04/2021,"2,800","250,300",695000000.0,56,"2,700","2,790","2,800","2,700",-10.0,-0.36,"250,300",695000000.0,-,
05/04/2021,"2,820","323,800",904000000.0,56,"2,820","2,800","2,820","2,770",-20.0,-0.71,"323,800",904000000.0,-,
02/04/2021,"2,780","288,300",808000000.0,56,"2,850","2,820","2,850","2,780",40.0,1.44,"288,300",808000000.0,-,
01/04/2021,"2,800","133,900",373000000.0,56,"2,870","2,780","2,870","2,770",-20.0,-0.71,"133,900",373000000.0,-,
31/03/2021,"2,780","335,900",943000000.0,56,"2,850","2,800","2,880","2,740",20.0,0.72,"335,900",943000000.0,-,
30/03/2021,"2,850","93,200",261000000.0,56,"2,850","2,780","2,850","2,770",-70.0,-2.46,"93,200",261000000.0,-,
29/03/2021,"2,670","131,400",367000000.0,57,"2,700","2,850","2,850","2,700",180.0,6.74,"131,400",367000000.0,-,
26/03/2021,"2,730","104,900",276000000.0,53,"2,680","2,670","2,730","2,580",-60.0,-2.2,"104,900",276000000.0,-,
25/03/2021,"2,750","224,400",613000000.0,55,"2,750","2,730","2,800","2,700",-20.0,-0.73,"224,400",613000000.0,-,
24/03/2021,"2,810","137,300",383000000.0,55,"2,810","2,750","2,820","2,700",-60.0,-2.14,"137,300",383000000.0,-,
23/03/2021,"2,780","151,600",425000000.0,56,"2,780","2,810","2,850","2,770",30.0,1.08,"151,600",425000000.0,-,
22/03/2021,"2,800","216,200",605000000.0,56,"2,800","2,780","2,850","2,750",-20.0,-0.71,"216,200",605000000.0,-,
19/03/2021,"2,860","147,100",414000000.0,56,"2,860","2,800","2,870","2,800",-60.0,-2.1,"147,100",414000000.0,-,
18/03/2021,"2,900","128,300",367000000.0,57,"2,880","2,860","2,900","2,840",-40.0,-1.38,"128,300",367000000.0,-,
17/03/2021,"2,900","195,700",560000000.0,58,"2,950","2,900","2,950","2,800",,,"195,700",560000000.0,-,
16/03/2021,"2,900","236,900",687000000.0,58,"2,830","2,900","3,000","2,830",,,"236,900",687000000.0,-,
15/03/2021,"2,840","222,300",639000000.0,58,"2,900","2,900","2,940","2,800",60.0,2.11,"222,300",639000000.0,-,
12/03/2021,"2,830","195,700",552000000.0,57,"2,830","2,840","2,870","2,790",10.0,0.35,"195,700",552000000.0,-,
11/03/2021,"2,930","154,700",452000000.0,57,"2,930","2,830","3,000","2,830",-100.0,-3.41,"154,700",452000000.0,-,
10/03/2021,"3,100","276,100",818000000.0,59,"3,100","2,930","3,100","2,890",-170.0,-5.48,"276,100",818000000.0,-,
09/03/2021,"2,910","444,000",1359000000.0,62,"3,100","3,100","3,100","3,000",190.0,6.53,"444,000",1359000000.0,-,
08/03/2021,"2,720","577,900",1678000000.0,58,"2,880","2,910","2,910","2,800",190.0,6.99,"577,900",1678000000.0,-,
05/03/2021,"2,680","366,700",1004000000.0,54,"2,740","2,720","2,790","2,680",40.0,1.49,"366,700",1004000000.0,-,
04/03/2021,"2,660","121,400",327000000.0,54,"2,760","2,680","2,760","2,660",20.0,0.75,"121,400",327000000.0,-,
03/03/2021,"2,700","109,900",295000000.0,53,"2,700","2,660","2,740","2,620",-40.0,-1.48,"109,900",295000000.0,-,
02/03/2021,"2,730","120,500",329000000.0,54,"2,750","2,700","2,790","2,700",-30.0,-1.1,"120,500",329000000.0,-,
01/03/2021,"2,700","102,800",280000000.0,55,"2,730","2,730","2,800","2,700",30.0,1.11,"102,800",280000000.0,-,
26/02/2021,"2,800","76,700",207000000.0,54,"2,790","2,700","2,790","2,610",-100.0,-3.57,"76,700",207000000.0,-,
25/02/2021,"2,790","125,400",350000000.0,56,"2,790","2,800","2,880","2,750",10.0,0.36,"125,400",350000000.0,-,
24/02/2021,"2,900","371,200",1011000000.0,56,"2,900","2,790","2,920","2,700",-110.0,-3.79,"371,200",1011000000.0,-,
23/02/2021,"3,000","152,700",451000000.0,58,"3,000","2,900","3,100","2,860",-100.0,-3.33,"152,700",451000000.0,-,
22/02/2021,"3,000","85,800",254000000.0,60,"3,000","3,000","3,100","2,900",,,"85,800",254000000.0,-,
19/02/2021,"2,990","223,600",677000000.0,60,"2,990","3,000","3,150","2,800",10.0,0.33,"223,600",677000000.0,-,
18/02/2021,"2,800","575,300",1719000000.0,60,"2,980","2,990","2,990","2,980",190.0,6.79,"575,300",1719000000.0,-,
17/02/2021,"2,620","162,700",456000000.0,56,"2,800","2,800","2,800","2,800",180.0,6.87,"162,700",456000000.0,-,
09/02/2021,"2,450","259,400",631000000.0,52,"2,300","2,620","2,620","2,280",170.0,6.94,"259,400",631000000.0,-,
08/02/2021,"2,600","269,000",652000000.0,49,"2,600","2,450","2,600","2,420",-150.0,-5.77,"269,000",652000000.0,-,
05/02/2021,"2,700","115,500",306000000.0,52,"2,800","2,600","2,800","2,560",-100.0,-3.7,"115,500",306000000.0,-,
04/02/2021,"2,710","273,100",748000000.0,54,"2,890","2,700","2,890","2,600",-10.0,-0.37,"273,100",748000000.0,-,
03/02/2021,"2,710","551,500",1405000000.0,54,"2,530","2,710","2,710","2,530",,,"551,500",1405000000.0,-,
02/02/2021,"2,910","8,200",22000000.0,54,"2,710","2,710","2,710","2,710",-200.0,-6.87,"8,200",22000000.0,-,
01/02/2021,"3,120","27,000",79000000.0,58,"3,120","2,910","3,120","2,910",-210.0,-6.73,"27,000",79000000.0,-,
29/01/2021,"3,350","59,600",186000000.0,62,"3,120","3,120","3,120","3,120",-230.0,-6.87,"59,600",186000000.0,-,
28/01/2021,"3,600","73,400",246000000.0,67,"3,350","3,350","3,350","3,350",-250.0,-6.94,"73,400",246000000.0,-,
27/01/2021,"3,600","579,700",1961000000.0,72,"3,400","3,600","3,600","3,350",,,"579,700",1961000000.0,-,
26/01/2021,"3,460","1,114,300",3865000000.0,72,"3,700","3,600","3,700","3,220",140.0,4.05,"1,114,300",3865000000.0,-,
25/01/2021,"3,240","213,300",738000000.0,69,"3,460","3,460","3,460","3,450",220.0,6.79,"213,300",738000000.0,-,
22/01/2021,"3,030","371,400",1203000000.0,65,"3,240","3,240","3,240","3,240",210.0,6.93,"371,400",1203000000.0,-,
21/01/2021,"2,840","1,021,900",3090000000.0,61,"3,030","3,030","3,030","3,000",190.0,6.69,"1,021,900",3090000000.0,-,
20/01/2021,"2,660","467,300",1261000000.0,57,"2,660","2,840","2,840","2,590",180.0,6.77,"467,300",1261000000.0,-,
19/01/2021,"2,660","1,043,300",2906000000.0,53,"2,840","2,660","2,840","2,530",,,"1,043,300",2906000000.0,-,
18/01/2021,"2,490","199,500",531000000.0,53,"2,660","2,660","2,660","2,660",170.0,6.83,"199,500",531000000.0,-,
15/01/2021,"2,330","396,400",977000000.0,50,"2,430","2,490","2,490","2,380",160.0,6.87,"396,400",977000000.0,-,
14/01/2021,"2,280","711,700",1670000000.0,47,"2,430","2,330","2,430","2,150",50.0,2.19,"711,700",1670000000.0,-,
13/01/2021,"2,140","293,500",669000000.0,46,"2,280","2,280","2,280","2,270",140.0,6.54,"293,500",669000000.0,-,
12/01/2021,"2,000","296,000",632000000.0,43,"2,140","2,140","2,140","2,100",140.0,7.0,"296,000",632000000.0,-,
11/01/2021,"1,870","212,000",423000000.0,40,"1,950","2,000","2,000","1,950",130.0,6.95,"212,000",423000000.0,-,
08/01/2021,"1,750","522,500",976000000.0,37,"1,800","1,870","1,870","1,800",120.0,6.86,"522,500",976000000.0,-,
07/01/2021,"1,650","199,700",344000000.0,35,"1,660","1,750","1,750","1,660",100.0,6.06,"199,700",344000000.0,-,
06/01/2021,"1,650","125,700",209000000.0,33,"1,650","1,650","1,690","1,650",,,"125,700",209000000.0,-,
05/01/2021,"1,740","157,400",270000000.0,33,"1,740","1,650","1,770","1,640",-90.0,-5.17,"157,400",270000000.0,-,
04/01/2021,"1,690","117,300",200000000.0,35,"1,700","1,740","1,780","1,690",50.0,2.96,"117,300",200000000.0,-,
31/12/2020,"1,760","384,260",638000000.0,34,"1,770","1,690","1,770","1,640",-70.0,-3.98,"384,260",638000000.0,-,
30/12/2020,"1,760","150,830",263000000.0,35,"1,760","1,760","1,800","1,710",,,"150,830",263000000.0,-,
29/12/2020,"1,650","379,370",664000000.0,35,"1,750","1,760","1,760","1,700",110.0,6.67,"379,370",664000000.0,-,
28/12/2020,"1,550","355,700",581000000.0,33,"1,500","1,650","1,650","1,500",100.0,6.45,"355,700",581000000.0,-,
25/12/2020,"1,570","44,780",69000000.0,31,"1,570","1,550","1,570","1,530",-20.0,-1.27,"44,780",69000000.0,-,
24/12/2020,"1,530","188,720",297000000.0,31,"1,600","1,570","1,630","1,530",40.0,2.61,"188,720",297000000.0,-,
23/12/2020,"1,430","209,840",316000000.0,31,"1,450","1,530","1,530","1,450",100.0,6.99,"209,840",316000000.0,-,
22/12/2020,"1,420","57,320",82000000.0,29,"1,430","1,430","1,430","1,400",10.0,0.7,"57,320",82000000.0,-,
21/12/2020,"1,380","53,640",75000000.0,28,"1,400","1,420","1,430","1,400",40.0,2.9,"53,640",75000000.0,-,
18/12/2020,"1,410","41,630",58000000.0,28,"1,400","1,380","1,420","1,380",-30.0,-2.13,"41,630",58000000.0,-,
17/12/2020,"1,410","26,350",37000000.0,28,"1,400","1,410","1,410","1,380",,,"26,350",37000000.0,-,
16/12/2020,"1,370","24,570",34000000.0,28,"1,370","1,410","1,410","1,370",40.0,2.92,"24,570",34000000.0,-,
15/12/2020,"1,410","20,040",28000000.0,27,"1,410","1,370","1,410","1,360",-40.0,-2.84,"20,040",28000000.0,-,
14/12/2020,"1,430","31,430",44000000.0,28,"1,430","1,410","1,430","1,360",-20.0,-1.4,"31,430",44000000.0,-,
11/12/2020,"1,400","18,710",27000000.0,29,"1,400","1,430","1,440","1,400",30.0,2.14,"18,710",27000000.0,-,
10/12/2020,"1,410","19,430",27000000.0,28,"1,410","1,400","1,420","1,400",-10.0,-0.71,"19,430",27000000.0,-,
09/12/2020,"1,370","80,600",111000000.0,28,"1,380","1,410","1,410","1,350",40.0,2.92,"80,600",111000000.0,-,
08/12/2020,"1,440","55,460",76000000.0,27,"1,420","1,370","1,420","1,370",-70.0,-4.86,"55,460",76000000.0,-,
07/12/2020,"1,450","11,970",17000000.0,29,"1,450","1,440","1,530","1,440",-10.0,-0.69,"11,970",17000000.0,-,
04/12/2020,"1,470","18,280",27000000.0,29,"1,470","1,450","1,470","1,390",-20.0,-1.36,"18,280",27000000.0,-,
03/12/2020,"1,460","52,910",78000000.0,29,"1,470","1,470","1,480","1,460",10.0,0.68,"52,910",78000000.0,-,
02/12/2020,"1,400","22,570",32000000.0,29,"1,400","1,460","1,480","1,350",60.0,4.29,"22,570",32000000.0,-,
01/12/2020,"1,390","7,750",11000000.0,28,"1,400","1,400","1,400","1,340",10.0,0.72,"7,750",11000000.0,-,
30/11/2020,"1,390","21,890",30000000.0,28,"1,430","1,390","1,430","1,310",,,"21,890",30000000.0,-,
27/11/2020,"1,400","69,270",94000000.0,28,"1,400","1,390","1,400","1,330",-10.0,-0.71,"69,270",94000000.0,-,
26/11/2020,"1,470","55,430",77000000.0,28,"1,460","1,400","1,460","1,370",-70.0,-4.76,"55,430",77000000.0,-,
25/11/2020,"1,460","30,430",43000000.0,29,"1,480","1,470","1,480","1,380",10.0,0.68,"30,430",43000000.0,-,
24/11/2020,"1,470","23,350",34000000.0,29,"1,450","1,460","1,480","1,400",-10.0,-0.68,"23,350",34000000.0,-,
23/11/2020,"1,500","53,620",79000000.0,29,"1,490","1,470","1,490","1,450",-30.0,-2.0,"53,620",79000000.0,-,
20/11/2020,"1,500","48,100",74000000.0,30,"1,570","1,500","1,580","1,500",,,"48,100",74000000.0,-,
19/11/2020,"1,420","172,800",259000000.0,30,"1,450","1,500","1,510","1,450",80.0,5.63,"172,800",259000000.0,-,
18/11/2020,"1,390","138,060",197000000.0,28,"1,390","1,420","1,460","1,390",30.0,2.16,"138,060",197000000.0,-,
17/11/2020,"1,400","36,740",49000000.0,28,"1,320","1,390","1,400","1,310",-10.0,-0.71,"36,740",49000000.0,-,
16/11/2020,"1,400","7,490",10000000.0,28,"1,420","1,400","1,420","1,340",,,"7,490",10000000.0,-,
13/11/2020,"1,400","7,910",11000000.0,28,"1,330","1,400","1,410","1,330",,,"7,910",11000000.0,-,
12/11/2020,"1,420","35,550",49000000.0,28,"1,420","1,400","1,420","1,340",-20.0,-1.41,"35,550",49000000.0,-,
11/11/2020,"1,420","3,090",4000000.0,28,"1,420","1,420","1,420","1,410",,,"3,090",4000000.0,-,
10/11/2020,"1,420","10,380",15000000.0,28,"1,430","1,420","1,430","1,400",,,"10,380",15000000.0,-,
09/11/2020,"1,440","53,640",73000000.0,28,"1,400","1,420","1,440","1,350",-20.0,-1.39,"53,640",73000000.0,-,
06/11/2020,"1,420","6,700",10000000.0,29,"1,500","1,440","1,500","1,400",20.0,1.41,"6,700",10000000.0,-,
05/11/2020,"1,470","1,360",2000000.0,28,"1,470","1,420","1,470","1,400",-50.0,-3.4,"1,360",2000000.0,-,
04/11/2020,"1,470","4,420",6000000.0,29,"1,470","1,470","1,470","1,400",,,"4,420",6000000.0,-,
03/11/2020,"1,450",370,1000000.0,29,"1,450","1,470","1,470","1,450",20.0,1.38,370,1000000.0,-,
02/11/2020,"1,450","6,880",10000000.0,29,"1,450","1,450","1,450","1,400",,,"6,880",10000000.0,-,
30/10/2020,"1,360","56,660",81000000.0,29,"1,400","1,450","1,450","1,320",90.0,6.62,"56,660",81000000.0,-,
29/10/2020,"1,390","32,930",43000000.0,27,"1,350","1,360","1,360","1,300",-30.0,-2.16,"32,930",43000000.0,-,
28/10/2020,"1,390","106,910",140000000.0,28,"1,400","1,390","1,420","1,300",,,"106,910",140000000.0,-,
27/10/2020,"1,420","16,810",24000000.0,28,"1,370","1,390","1,420","1,370",-30.0,-2.11,"16,810",24000000.0,-,
26/10/2020,"1,430","13,480",19000000.0,28,"1,400","1,420","1,450","1,400",-10.0,-0.7,"13,480",19000000.0,-,
23/10/2020,"1,480","19,530",28000000.0,29,"1,480","1,430","1,480","1,430",-50.0,-3.38,"19,530",28000000.0,-,
22/10/2020,"1,480","1,630",2000000.0,30,"1,480","1,480","1,480","1,480",,,"1,630",2000000.0,-,
21/10/2020,"1,440","18,690",28000000.0,30,"1,450","1,480","1,480","1,450",40.0,2.78,"18,690",28000000.0,-,
20/10/2020,"1,450","28,370",41000000.0,29,"1,430","1,440","1,460","1,430",-10.0,-0.69,"28,370",41000000.0,-,
19/10/2020,"1,470","7,860",12000000.0,29,"1,470","1,450","1,480","1,450",-20.0,-1.36,"7,860",12000000.0,-,
16/10/2020,"1,500","13,800",20000000.0,29,"1,480","1,470","1,500","1,460",-30.0,-2.0,"13,800",20000000.0,-,
15/10/2020,"1,560","630,630",923000000.0,30,"1,510","1,500","1,510","1,460",-60.0,-3.85,"630,630",923000000.0,-,
14/10/2020,"1,580","127,000",191000000.0,31,"1,580","1,560","1,580","1,490",-20.0,-1.27,"127,000",191000000.0,-,
13/10/2020,"1,530","158,130",237000000.0,32,"1,510","1,580","1,580","1,500",50.0,3.27,"158,130",237000000.0,-,
12/10/2020,"1,550","19,240",30000000.0,31,"1,550","1,530","1,550","1,530",-20.0,-1.29,"19,240",30000000.0,-,
09/10/2020,"1,550","160,010",248000000.0,31,"1,550","1,550","1,610","1,550",,,"160,010",248000000.0,-,
08/10/2020,"1,600","43,190",67000000.0,31,"1,600","1,550","1,600","1,550",-50.0,-3.13,"43,190",67000000.0,-,
07/10/2020,"1,550","5,050",8000000.0,32,"1,550","1,600","1,600","1,550",50.0,3.23,"5,050",8000000.0,-,
06/10/2020,"1,590","15,190",23000000.0,31,"1,620","1,550","1,620","1,500",-40.0,-2.52,"15,190",23000000.0,-,
05/10/2020,"1,490","47,720",74000000.0,32,"1,490","1,590","1,590","1,480",100.0,6.71,"47,720",74000000.0,-,
02/10/2020,"1,550","22,430",34000000.0,30,"1,500","1,490","1,580","1,490",-60.0,-3.87,"22,430",34000000.0,-,
01/10/2020,"1,570","11,530",18000000.0,31,"1,560","1,550","1,560","1,520",-20.0,-1.27,"11,530",18000000.0,-,
30/09/2020,"1,570","2,990",5000000.0,31,"1,500","1,570","1,570","1,480",,,"2,990",5000000.0,-,
29/09/2020,"1,570",810,1000000.0,31,"1,590","1,570","1,590","1,510",,,810,1000000.0,-,
28/09/2020,"1,570","10,250",16000000.0,31,"1,570","1,570","1,570","1,570",,,"10,250",16000000.0,-,
25/09/2020,"1,570","2,980",5000000.0,31,"1,620","1,570","1,620","1,570",,,"2,980",5000000.0,-,
24/09/2020,"1,560","11,270",18000000.0,31,"1,560","1,570","1,570","1,550",10.0,0.64,"11,270",18000000.0,-,
23/09/2020,"1,600","26,410",41000000.0,31,"1,570","1,560","1,610","1,560",-40.0,-2.5,"26,410",41000000.0,-,
22/09/2020,"1,610","14,110",22000000.0,32,"1,620","1,600","1,620","1,570",-10.0,-0.62,"14,110",22000000.0,-,
21/09/2020,"1,610","34,250",56000000.0,32,"1,640","1,610","1,640","1,610",,,"34,250",56000000.0,-,
18/09/2020,"1,620","26,300",42000000.0,32,"1,610","1,610","1,620","1,560",-10.0,-0.62,"26,300",42000000.0,-,
17/09/2020,"1,620","50,190",81000000.0,32,"1,610","1,620","1,620","1,600",,,"50,190",81000000.0,-,
16/09/2020,"1,630","73,670",118000000.0,32,"1,610","1,620","1,620","1,590",-10.0,-0.61,"73,670",118000000.0,-,
15/09/2020,"1,630","31,410",51000000.0,33,"1,630","1,630","1,640","1,610",,,"31,410",51000000.0,-,
14/09/2020,"1,650","26,540",43000000.0,33,"1,600","1,630","1,630","1,600",-20.0,-1.21,"26,540",43000000.0,-,
